year,team,logcv_error,logplayoff_error,logsensitivity,logspecificity,ks,knncv_error,knnplayoff_error,knnsensitivity,knnspecificity
2009,NO,0.3782061358620157,0.4,0.4647887323943662,0.6923076923076923,6,0.37534459328285774,0.3828571428571429,0.5774647887323944,0.6442307692307693
2010,GB,0.39966836469045597,0.33884297520661155,0.39215686274509803,0.8571428571428571,28,0.39171304885590597,0.3677685950413223,0.3627450980392157,0.8285714285714286
2011,NYG,0.3862673267326733,0.3584229390681004,0.3113207547169811,0.8439306358381503,5,0.39025742574257427,0.41577060931899645,0.4056603773584906,0.6936416184971098
2012,BAL,0.3818484675423568,0.4029850746268657,0.47058823529411764,0.7272727272727273,10,0.39067199695412147,0.3805970149253731,0.5073529411764706,0.7348484848484849
2013,DEN,0.35469190121321004,0.35467980295566504,0.36486486486486486,0.8062015503875969,16,0.32186827688690756,0.4137931034482759,0.40540540540540543,0.689922480620155
2014,NE,0.3551392632524708,0.37681159420289856,0.36764705882352944,0.7482014388489209,22,0.3646001796945193,0.3961352657004831,0.39705882352941174,0.7050359712230215
2015,DEN,0.34902014652014657,0.4,0.33707865168539325,0.8316831683168316,14,0.3585228764945746,0.41052631578947374,0.34831460674157305,0.801980198019802
2016,NE,0.3843073188946975,0.40888888888888886,0.589041095890411,0.5921052631578947,14,0.3553024645257655,0.36,0.4931506849315068,0.7105263157894737
2017,PHI,0.4301142096896814,0.35416666666666663,0.3493975903614458,0.8715596330275229,37,0.39100905383924256,0.39583333333333337,0.3373493975903614,0.8073394495412844
2018,NE,0.3521601354620223,0.3659574468085106,0.5045871559633027,0.746031746031746,30,0.3635385997650149,0.36170212765957444,0.4954128440366973,0.7619047619047619
2019,KC,0.3147258771929825,0.36170212765957444,0.4492753623188406,0.7478991596638656,20,0.3242105263157895,0.3829787234042553,0.43478260869565216,0.7226890756302521
